start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2018-11-09T11:01:34.872412,2018-11-09T11:01:34.875278,0.002866,1,10,1,1,1,1,1,1.0
2018-11-09T11:01:34.875379,2018-11-09T11:01:34.875897,0.000518,1,1,1,1,1,1,1,1.0
2018-11-09T11:01:34.876012,2018-11-09T11:01:34.876475,0.000463,1,0,1,1,1,1,1,1.0
2018-11-09T11:01:34.876555,2018-11-09T11:01:34.876998,0.000443,1,11,1,1,1,1,1,1.0
2018-11-09T11:01:34.877077,2018-11-09T11:01:34.877514,0.000437,1,4,1,1,1,1,1,1.0
2018-11-09T11:01:34.877596,2018-11-09T11:01:34.878039,0.000443,1,3,1,1,1,1,1,1.0
2018-11-09T11:01:34.878120,2018-11-09T11:01:34.878561,0.000441,1,3,1,1,1,1,1,1.0
2018-11-09T11:01:34.878642,2018-11-09T11:01:34.879077,0.000435,1,2,1,1,1,1,1,1.0
2018-11-09T11:01:34.879161,2018-11-09T11:01:34.879598,0.000437,1,11,1,1,1,1,1,1.0
2018-11-09T11:01:34.879676,2018-11-09T11:01:34.880129,0.000453,1,1,1,1,1,1,1,1.0
2018-11-09T11:01:34.880213,2018-11-09T11:01:34.880651,0.000438,1,10,1,1,1,1,1,1.0
2018-11-09T11:01:34.880734,2018-11-09T11:01:34.881172,0.000438,1,11,1,1,1,1,1,1.0
2018-11-09T11:01:34.881254,2018-11-09T11:01:34.881685,0.000431,1,8,1,1,1,1,1,1.0
2018-11-09T11:01:34.881765,2018-11-09T11:01:34.882199,0.000434,1,1,1,1,1,1,1,1.0
2018-11-09T11:01:34.882282,2018-11-09T11:01:34.882725,0.000443,1,9,1,1,1,1,1,1.0
2018-11-09T11:01:34.882805,2018-11-09T11:01:34.883237,0.000432,1,6,1,1,1,1,1,1.0
2018-11-09T11:01:34.883313,2018-11-09T11:01:34.883742,0.000429,1,0,1,1,1,1,1,1.0
2018-11-09T11:01:34.883821,2018-11-09T11:01:34.884273,0.000452,1,0,1,1,1,1,1,1.0
2018-11-09T11:01:34.884351,2018-11-09T11:01:34.884781,0.00043,1,1,1,1,1,1,1,1.0
2018-11-09T11:01:34.884861,2018-11-09T11:01:34.885294,0.000433,1,3,1,1,1,1,1,1.0
2018-11-09T11:01:34.896156,2018-11-09T11:01:34.897397,0.001241,2,3 8,1,2,2,2,2,1.5
2018-11-09T11:01:34.897568,2018-11-09T11:01:34.898943,0.001375,2,0 8,1,3,2,2,2,1.6875
2018-11-09T11:01:34.899091,2018-11-09T11:01:34.900769,0.001678,2,11 10,1,3,2,2,2,1.6875
2018-11-09T11:01:34.900924,2018-11-09T11:01:34.902338,0.001414,2,8 6,1,3,2,2,2,1.6875
2018-11-09T11:01:34.902489,2018-11-09T11:01:34.903876,0.001387,2,7 9,1,3,2,2,2,1.6875
2018-11-09T11:01:34.904052,2018-11-09T11:01:34.905455,0.001403,2,0 2,1,3,2,2,2,1.6875
2018-11-09T11:01:34.905612,2018-11-09T11:01:34.907284,0.001672,2,6 5,1,3,2,2,2,1.6875
2018-11-09T11:01:34.907494,2018-11-09T11:01:34.913135,0.005641,2,2 3,1,3,2,2,2,1.6875
2018-11-09T11:01:34.913352,2018-11-09T11:01:34.914967,0.001615,2,1 1,1,3,2,2,2,1.6875
2018-11-09T11:01:34.915183,2018-11-09T11:01:34.916599,0.001416,2,1 5,1,3,2,2,2,1.6875
