start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2018-11-09T11:01:04.320661,2018-11-09T11:01:04.323516,0.002855,1,10,1,1,1,1,1,1.0
2018-11-09T11:01:04.323615,2018-11-09T11:01:04.324133,0.000518,1,1,1,1,1,1,1,1.0
2018-11-09T11:01:04.324216,2018-11-09T11:01:04.324653,0.000437,1,0,1,1,1,1,1,1.0
2018-11-09T11:01:04.324733,2018-11-09T11:01:04.325261,0.000528,1,11,1,1,1,1,1,1.0
2018-11-09T11:01:04.325340,2018-11-09T11:01:04.325768,0.000428,1,4,1,1,1,1,1,1.0
2018-11-09T11:01:04.325849,2018-11-09T11:01:04.326285,0.000436,1,3,1,1,1,1,1,1.0
2018-11-09T11:01:04.326365,2018-11-09T11:01:04.326966,0.000601,1,3,1,1,1,1,1,1.0
2018-11-09T11:01:04.327047,2018-11-09T11:01:04.327478,0.000431,1,2,1,1,1,1,1,1.0
2018-11-09T11:01:04.327558,2018-11-09T11:01:04.327990,0.000432,1,11,1,1,1,1,1,1.0
2018-11-09T11:01:04.328069,2018-11-09T11:01:04.328504,0.000435,1,1,1,1,1,1,1,1.0
2018-11-09T11:01:04.328588,2018-11-09T11:01:04.329114,0.000526,1,10,1,1,1,1,1,1.0
2018-11-09T11:01:04.329193,2018-11-09T11:01:04.329625,0.000432,1,11,1,1,1,1,1,1.0
2018-11-09T11:01:04.329705,2018-11-09T11:01:04.330130,0.000425,1,8,1,1,1,1,1,1.0
2018-11-09T11:01:04.330208,2018-11-09T11:01:04.330639,0.000431,1,1,1,1,1,1,1,1.0
2018-11-09T11:01:04.330719,2018-11-09T11:01:04.331406,0.000687,1,9,1,1,1,1,1,1.0
2018-11-09T11:01:04.331485,2018-11-09T11:01:04.331919,0.000434,1,6,1,1,1,1,1,1.0
2018-11-09T11:01:04.332002,2018-11-09T11:01:04.332574,0.000572,1,0,1,1,1,1,1,1.0
2018-11-09T11:01:04.332653,2018-11-09T11:01:04.333213,0.00056,1,0,1,1,1,1,1,1.0
2018-11-09T11:01:04.333293,2018-11-09T11:01:04.333724,0.000431,1,1,1,1,1,1,1,1.0
2018-11-09T11:01:04.333804,2018-11-09T11:01:04.334236,0.000432,1,3,1,1,1,1,1,1.0
2018-11-09T11:01:04.334802,2018-11-09T11:01:04.335927,0.001125,2,3 8,1,2,2,2,2,1.5
