Wall time,Step,Value
1566112918.9382093,600,13.0
1566112918.9384928,700,7.0
1566112918.940498,1200,5.0
1566112918.9413583,1500,8.0
1566112918.9419777,1600,3.0
1566112925.9028482,1900,6.0
1566112928.1478496,2000,8.0
1566112930.404393,2100,2.0
1566112939.60486,2500,6.0
1566112990.19133,3700,2.0
1566112999.8926394,4100,7.0
1566113004.4814148,4300,4.0
1566113009.142015,4500,11.0
1566113011.1375616,4600,8.0
1566113015.8820055,4800,5.0
1566113040.334605,5400,4.0
1566113042.5484505,5500,2.0
1566113044.6052644,5600,4.0
1566113046.9974668,5700,2.0
1566113049.3295705,5800,5.0
1566113067.419844,6600,4.0
1566113072.6354332,6800,6.0
1566113074.8012362,6900,5.0
1566113081.8040824,7200,5.0
1566113083.939935,7300,5.0
1566113086.4577003,7400,6.0
1566113088.9742508,7500,6.0
1566113100.473313,8000,5.0
1566113113.387834,8500,5.0
1566113120.063102,8800,5.0
1566113122.5499454,8900,3.0
1566113136.5842543,9500,7.0
1566113156.816296,10300,10.0
1566113164.0212243,10600,9.0
1566113166.607113,10700,14.0
1566113183.2583761,11400,4.0
1566113191.8306544,11700,7.0
1566113196.4255164,11900,5.0
1566113212.689245,12600,3.0
1566113214.967413,12700,3.0
1566113222.4345465,13000,2.0
1566113224.780789,13100,11.0
1566113246.251349,14000,7.0
1566113250.921599,14200,3.0
1566113253.5041623,14300,4.0
1566113255.8877306,14400,2.0
1566113273.6988482,15100,4.0
1566113285.067813,15600,5.0
1566113289.8001297,15800,3.0
1566113292.0460477,15900,6.0
1566113301.8099415,16300,5.0
1566113314.4417167,16800,3.0
1566113316.9953866,16900,16.0
1566113323.7638924,17200,4.0
1566113337.8361394,17800,5.0
1566113339.9805465,17900,3.0
1566113344.9008026,18100,5.0
1566113352.985945,18400,3.0
1566113357.6420116,18600,3.0
1566113359.886008,18700,6.0
1566113364.9143517,18900,3.0
1566113369.7432222,19100,9.0
1566113372.054114,19200,3.0
1566113389.8220377,19900,9.0
1566113408.7732823,20700,4.0
1566113411.1895456,20800,14.0
1566113413.6772377,20900,7.0
1566113423.4948416,21300,9.0
1566113447.0934753,22300,7.0
1566113449.4562087,22400,3.0
1566113454.369074,22600,4.0
1566113463.6974013,23000,3.0
1566113471.3720179,23300,10.0
1566113473.7610693,23400,2.0
1566113475.9155405,23500,11.0
1566113482.8512897,23800,3.0
1566113512.8863046,25000,7.0
1566113527.3444889,25600,7.0
1566113534.5332053,25900,9.0
1566113539.0208929,26100,4.0
1566113541.3280368,26200,3.0
1566113546.8626616,26400,6.0
1566113555.9685533,26800,5.0
1566113565.8284817,27200,6.0
1566113570.8409882,27400,4.0
1566113582.7390218,27900,5.0
1566113618.1661112,29300,7.0
1566113630.5483644,29800,3.0
1566113633.0777414,29900,3.0
1566113642.4022737,30300,3.0
1566113644.7373545,30400,2.0
1566113653.9050062,30800,3.0
1566113656.2850251,30900,5.0
1566113661.4313848,31100,5.0
1566113669.5218687,31400,11.0
1566113681.9050262,31900,8.0
1566113684.2401655,32000,5.0
1566113686.484444,32100,4.0
1566113697.9769156,32600,4.0
1566113700.5055187,32700,8.0
1566113703.125302,32800,5.0
1566113711.4656608,33100,6.0
1566113732.8589082,34000,7.0
1566113737.6087341,34200,7.0
1566113752.901348,34800,7.0
1566113767.671969,35400,12.0
