Wall time,Step,Value
1564903527.9213986,1,835.0
1564903527.9217029,2,822.0
1564903527.9219062,3,759.0
1564903527.9221022,4,761.0
1564903527.9222934,5,821.0
1564903527.9224846,6,759.0
1564903527.9226747,7,756.0
1564903527.9228652,8,761.0
1564903527.9230535,9,756.0
1564903527.9232426,10,823.0
1564903527.9234302,11,755.0
1564903527.9236164,12,760.0
1564903528.8133564,13,757.0
1564903534.1017177,14,759.0
1564903539.8958113,15,820.0
1564903545.7978292,16,839.0
1564903551.8086386,17,837.0
1564903557.9668887,18,877.0
1564903563.881002,19,836.0
1564903569.9441884,20,863.0
1564903575.863733,21,838.0
1564903582.9742296,22,970.0
1564903590.6040733,23,1081.0
1564903596.3387733,24,813.0
1564903603.8066409,25,1058.0
1564903609.7756946,26,837.0
1564903616.9278405,27,999.0
1564903624.1499276,28,1027.0
1564903630.3304663,29,880.0
1564903636.922182,30,933.0
1564903643.508148,31,906.0
1564903649.397754,32,838.0
1564903657.407038,33,1136.0
1564903665.8895068,34,1204.0
1564903673.088245,35,999.0
1564903680.2659013,36,1014.0
1564903688.7689571,37,1201.0
1564903696.418372,38,1080.0
1564903702.0368838,39,788.0
1564903708.3633683,40,873.0
1564903716.3517976,41,1126.0
1564903722.941667,42,932.0
1564903731.0161579,43,1136.0
1564903741.7710452,44,1508.0
1564903750.2807968,45,1197.0
1564903758.856171,46,1213.0
1564903767.3431766,47,1183.0
1564903778.067521,48,1513.0
1564903786.7811143,49,1225.0
1564903797.1815958,50,1451.0
1564903808.3397052,51,1569.0
1564903821.481058,52,1856.0
1564903832.2934368,53,1509.0
1564903849.4135103,54,2411.0
1564903866.1410732,55,2330.0
1564903878.0477924,56,1683.0
1564903894.878777,57,2323.0
1564903912.2697716,58,2491.0
1564903930.1104546,59,2505.0
1564903944.980546,60,2091.0
1564903959.3028498,61,2006.0
1564903974.978182,62,2207.0
1564903992.4656568,63,2441.0
1564904006.9772496,64,2015.0
1564904019.036704,65,1697.0
1564904030.4015944,66,1596.0
